Datetime,Tweet Id,Text,Username,Lang,ReplyCount,URL,RetweetCount,LikeCount,Source
2023-01-21 06:49:40+00:00,1616689468618182657,@_DigitalIndia @GoI_MeitY @nasscom,OfficialIndiaAI,qam,0,https://twitter.com/OfficialIndiaAI/status/1616689468618182657,0,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-21 06:49:39+00:00,1616689462901354496,"Adding the edge of AI into the most transformative technologies, we cannot wait to witness how will digital twin in 2023 turn out to be in the domains of telecom, automotive, e-Commerce, real-estate,etc. 

Are you curious to know too? Tap here to explore: https://t.co/pJwH7K2ZOF https://t.co/6otaBUdEuH",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1616689462901354496,1,5,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-20 10:47:40+00:00,1616386976806227968,"We have barely scratched the surface of AI’s capabilities in the customer experience game. Brands today are enabling new experiences from virtual try-on to self-checkout, all thanks to AI!

#artificialintelligence #machinelearning #customerexperience #INDIAai",OfficialIndiaAI,en,0,https://twitter.com/OfficialIndiaAI/status/1616386976806227968,0,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-20 10:47:39+00:00,1616386972821639168,"According to @Accenture, AI has the potential to increase corporate profitability by an average of 38% by 2035. 

Want to read more about it? Tap here: https://t.co/96uwvt38E1

@_DigitalIndia @nasscom https://t.co/3lQ13hLwjS",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1616386972821639168,2,5,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-18 10:42:28+00:00,1615660889700724736,"Minimax is a backtracking algorithm used in decision-making and game theory to evaluate a player's best move. 

Want to know how it works? Tap: https://t.co/QT5KSCZWEc

@jeevprabnivash @_DigitalIndia @GoI_MeitY @nasscom @NeGD_GoI",OfficialIndiaAI,en,0,https://twitter.com/OfficialIndiaAI/status/1615660889700724736,1,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-18 06:37:31+00:00,1615599246874640384,@jeevprabnivash @_DigitalIndia @nasscom @GoI_MeitY @NeGD_GoI,OfficialIndiaAI,qam,0,https://twitter.com/OfficialIndiaAI/status/1615599246874640384,1,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-18 06:37:30+00:00,1615599243607314432,"As businesses build enormous 3D virtual worlds, the requirement for content development tools will continue to grow. 

To meet this demand, @NVIDIAAI researchers have come up with GET3D, generating high-quality 3D textured shapes from images. Tap to read: https://t.co/Bwgu9LNqTb",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1615599243607314432,1,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-18 05:24:48+00:00,1615580948984377347,@_DigitalIndia @GoI_MeitY @nasscom @NeGD_GoI,OfficialIndiaAI,qam,0,https://twitter.com/OfficialIndiaAI/status/1615580948984377347,0,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-18 05:24:48+00:00,1615580946295828480,"Last year, AI ignited a new wave of transformation and astounded the world. It will only be rising several levels higher in 2023. 

Tap here to find out the 5 major AI trends that will take centre stage as predicted by @Infosys: https://t.co/QQuJV7x2fz",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1615580946295828480,1,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-18 04:39:28+00:00,1615569537759600642,@jeevprabnivash @MetaAI @netomi_official @OpenAI @Drift @IBM @WordPress @DashaAI_ @_DigitalIndia @nasscom @GoI_MeitY @NeGD_GoI,OfficialIndiaAI,qam,0,https://twitter.com/OfficialIndiaAI/status/1615569537759600642,1,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-18 04:39:27+00:00,1615569535360458753,"AI-powered chatbots have taken the internet by storm lately, but not only can they automate operational tasks but also open a wide array of newer functions. 

Want to discover the most powerful AI chatbots of 2023 and what they can do? Tap here: https://t.co/OnO0ydDtK9",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1615569535360458753,2,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-17 08:04:51+00:00,1615258838009270273,@debjani_ghosh_ @abhish18 @sangeetagupta29 @sama @gdb @_DigitalIndia @GoI_MeitY @NeGD_GoI @nasscom,OfficialIndiaAI,qam,0,https://twitter.com/OfficialIndiaAI/status/1615258838009270273,0,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-17 08:04:49+00:00,1615258829155106817,"@OpenAI's chatbot #ChatGPT has breathed fresh air into the world of technologies! With its prototype crossing 1 million users in less than a week, we can safely say that we have entered the next stage of bot evolution. 

Tap here to read more: https://t.co/ywKiCXc36k https://t.co/9y83xbwIyq",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1615258829155106817,0,5,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-16 10:06:58+00:00,1614927180882145281,"Meet Robot lawyer, an AI-powered robot that defends a human in a court of law. Amused? So are we!

Tap here to read about the use of AI in automating legal operations: https://t.co/Dg3SFSzHjm

@jeevprabnivash @jbrowder1 @donotpay @_DigitalIndia  @nasscom @GoI_MeitY @NeGD_GoI",OfficialIndiaAI,en,0,https://twitter.com/OfficialIndiaAI/status/1614927180882145281,2,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-16 09:00:38+00:00,1614910486017105925,@_DigitalIndia @nasscom @GoI_MeitY @NeGD_GoI,OfficialIndiaAI,qam,0,https://twitter.com/OfficialIndiaAI/status/1614910486017105925,0,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-16 09:00:37+00:00,1614910481525006336,"AI development in gaming refers to creating non-player characters (NPCs) using artificial intelligence, which enhances the whole gaming experience. 

Want to know about its applications and latest innovations? Tap here: https://t.co/vPRDx4oEjB https://t.co/TanSNuFjqh",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1614910481525006336,0,3,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-16 08:05:59+00:00,1614896733858955264,@NeGD_GoI,OfficialIndiaAI,qam,0,https://twitter.com/OfficialIndiaAI/status/1614896733858955264,0,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-16 08:05:58+00:00,1614896731153633281,"Generative AI is definitely the talk of the town today, but can we push our boundaries to explore more use cases of generative models? Read more to know its promising scope in the field of medicine: https://t.co/0SeLDVwsar

@drexelbiomed @OpenAI @_DigitalIndia @nasscom @GoI_MeitY",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1614896731153633281,2,3,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-16 07:24:22+00:00,1614886260715442176,@GoI_MeitY @NeGD_GoI,OfficialIndiaAI,qam,0,https://twitter.com/OfficialIndiaAI/status/1614886260715442176,0,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-16 07:24:21+00:00,1614886258131763200,"In this latest edition of 'Ask INDIAai', we explore everything from whether AI will replace pilots in the near future to what is the most advanced AI in today's date. Sounds interesting? Tap to read: https://t.co/1ESPGyj5MY 

@jeevprabnivash @OpenAI @_DigitalIndia @nasscom",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1614886258131763200,1,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-16 06:43:22+00:00,1614875944623427591,"Do you agree that for AI technology to truly transform India, it must be deployed and amplified at the grassroots level, being easily accessible in rural parts of India?

@Microsoft @__anjali__raja @_DigitalIndia @nasscom",OfficialIndiaAI,en,0,https://twitter.com/OfficialIndiaAI/status/1614875944623427591,0,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-16 06:43:20+00:00,1614875934150250496,"Addressing a gathering of developers, start-ups &amp; technology leaders at the Microsoft Future Ready Technology summit in Bengaluru, @satyanadella, touched down upon the crucial role of developers in building innovative solutions. 

Read the key points here: https://t.co/ElGomCNE3V https://t.co/IzB3BXnZXc",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1614875934150250496,0,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-14 09:06:44+00:00,1614187248148439040,"#12 What are your thoughts on the changing landscape of AI skilling? We would like to hear! Let us know👇

Share the thread with your fellow AI enthusiasts and look out for more such interesting news threads coming soon!🧵",OfficialIndiaAI,en,0,https://twitter.com/OfficialIndiaAI/status/1614187248148439040,1,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-14 09:06:10+00:00,1614187102933245953,"#11 That’s all for today folks! To read more about the key AI trends in upskilling in 2023, tap https://t.co/GTmcvTjMDr",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1614187102933245953,1,3,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-14 09:05:07+00:00,1614186839757455366,"#10 A quick look at recent papers appearing in Science and Nature shows that ML &amp; AI methods are being creatively used for scientific discovery across physical and life sciences.

All we can say is that now is the best time to upskill oneself and flourish through this technology!",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1614186839757455366,1,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-14 09:03:46+00:00,1614186502128558080,#9 AI upskilling is expected to absorb these and other trends into training and learning programs and change the course of present trends critically.,OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1614186502128558080,1,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2023-01-14 09:03:22+00:00,1614186400936755200,"#8 AIaaS and cloud-hosted applications are here to stay!

Until now, the software deployment task was typically not the task of the AI engineers, but increasingly organizations want the DevOps pipeline integrated.",OfficialIndiaAI,en,1,https://twitter.com/OfficialIndiaAI/status/1614186400936755200,1,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
